item_id,name,category,price,link,short_description,designer,basic_color,furniture
90420332,FREKVENS,Bar furniture,265,https://www.ikea.com/sa/en/p/frekvens-bar-table-in-outdoor-black-90420332/,"        Bar table, in/outdoor,          51x51 cm",Nicholai Wiig Hansen,black,table
368814,NORDVIKEN,Bar furniture,995,https://www.ikea.com/sa/en/p/nordviken-bar-table-black-00368814/,"        Bar table,          140x80 cm",Francis Cayouette,black,table
9333523,NORDVIKEN / NORDVIKEN,Bar furniture,2095,https://www.ikea.com/sa/en/p/nordviken-nordviken-bar-table-and-4-bar-stools-black-black-s09333523/,        Bar table and 4 bar stools,Francis Cayouette,black,stool
80155205,STIG,Bar furniture,69,https://www.ikea.com/sa/en/p/stig-bar-stool-with-backrest-black-silver-colour-80155205/,"        Bar stool with backrest,          74 cm",Henrik Preutz,black,stool
30180504,NORBERG,Bar furniture,225,https://www.ikea.com/sa/en/p/norberg-wall-mounted-drop-leaf-table-white-30180504/,"        Wall-mounted drop-leaf table,          74x60 cm",Marcus Arvonen,white,table
10122647,INGOLF,Bar furniture,345,https://www.ikea.com/sa/en/p/ingolf-bar-stool-with-backrest-white-10122647/,"        Bar stool with backrest,          63 cm",Carina Bengs,white,stool
70404875,FRANKLIN,Bar furniture,129,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-white-white-70404875/,"        Bar stool with backrest, foldable,          63 cm",K Hagberg/M Hagberg,white,stool
60155602,DALFRED,Bar furniture,195,https://www.ikea.com/sa/en/p/dalfred-bar-stool-black-60155602/,"        Bar stool,          63-74 cm",Sarah Fager,black,stool
50406465,FRANKLIN,Bar furniture,129,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-black-black-50406465/,"        Bar stool with backrest, foldable,          63 cm",K Hagberg/M Hagberg,black,stool
69304221,EKEDALEN / EKEDALEN,Bar furniture,2176,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-bar-table-and-4-bar-stools-dark-brown-orrsta-light-grey-s69304221/,        Bar table and 4 bar stools,Ehlén Johansson,brown,stool
90404879,FRANKLIN,Bar furniture,149,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-white-white-90404879/,"        Bar stool with backrest, foldable,          74 cm",K Hagberg/M Hagberg,white,stool
121766,INGOLF,Bar furniture,395,https://www.ikea.com/sa/en/p/ingolf-bar-stool-with-backrest-white-00121766/,"        Bar stool with backrest,          74 cm",Carina Bengs,white,stool
397736,NORRARYD,Bar furniture,395,https://www.ikea.com/sa/en/p/norraryd-bar-stool-with-backrest-black-00397736/,"        Bar stool with backrest,          74 cm",Nike Karlsson,black,stool
50420329,FREKVENS,Bar furniture,177,https://www.ikea.com/sa/en/p/frekvens-bar-stool-with-backrest-in-outdoor-black-50420329/,"        Bar stool with backrest, in/outdoor,          74 cm",Nicholai Wiig Hansen,black,stool
400550,EKEDALEN,Bar furniture,345,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-brown-orrsta-light-grey-00400550/,"        Bar stool with backrest,          75 cm",Ehlén Johansson,brown,stool
29304826,TOMMARYD,Bar furniture,695,https://www.ikea.com/sa/en/p/tommaryd-table-anthracite-s29304826/,"        Table,          130x70/105 cm",Maja Ganszyniec,other,table
40426138,HENRIKSDAL,Bar furniture,395,https://www.ikea.com/sa/en/p/henriksdal-bar-stool-with-backrest-frame-dark-brown-40426138/,"        Bar stool with backrest frame,          74 cm",Karl Malmvall,brown,stool
50363649,KULLABERG,Bar furniture,140,https://www.ikea.com/sa/en/p/kullaberg-stool-black-50363649/,        Stool,Sarah Fager,black,stool
70246089,JANINGE,Bar furniture,595,https://www.ikea.com/sa/en/p/janinge-bar-stool-white-70246089/,"        Bar stool,          76 cm",John/Jonas/Petrus/Paul/Caroline,white,stool
60406785,FRANKLIN,Bar furniture,149,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-black-black-60406785/,"        Bar stool with backrest, foldable,          74 cm",K Hagberg/M Hagberg,black,stool
340759,EKEDALEN,Bar furniture,995,https://www.ikea.com/sa/en/p/ekedalen-bar-table-white-00340759/,"        Bar table,          120x80 cm",Ehlén Johansson,white,table
30352246,RÅSKOG,Bar furniture,175,https://www.ikea.com/sa/en/p/raskog-bar-stool-black-30352246/,"        Bar stool,          63 cm",Nike Karlsson,black,stool
10281354,JANINGE,Bar furniture,595,https://www.ikea.com/sa/en/p/janinge-bar-stool-grey-10281354/,"        Bar stool,          76 cm",John/Jonas/Petrus/Paul/Caroline,grey,stool
90400517,EKEDALEN,Bar furniture,796,https://www.ikea.com/sa/en/p/ekedalen-bar-table-dark-brown-90400517/,"        Bar table,          120x80 cm",Ehlén Johansson,brown,table
400545,EKEDALEN,Bar furniture,345,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-white-orrsta-light-grey-00400545/,"        Bar stool with backrest,          75 cm",Ehlén Johansson,white,stool
10400540,EKEDALEN,Bar furniture,345,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-dark-brown-orrsta-light-grey-10400540/,"        Bar stool with backrest,          75 cm",Ehlén Johansson,brown,stool
40400529,EKEDALEN,Bar furniture,796,https://www.ikea.com/sa/en/p/ekedalen-bar-table-brown-40400529/,"        Bar table,          120x80 cm",Ehlén Johansson,brown,table
90319918,HENRIKSDAL,Bar furniture,695,https://www.ikea.com/sa/en/p/henriksdal-bar-stool-with-backrest-brown-black-glose-black-90319918/,"        Bar stool with backrest,          74 cm",Karl Malmvall,black,stool
29297227,STENSELE / NORRARYD,Bar furniture,1340,https://www.ikea.com/sa/en/p/stensele-norraryd-bar-table-and-2-bar-stools-anthracite-anthracite-black-s29297227/,        Bar table and 2 bar stools,Nike Karlsson/Maja Ganszyniec,black,stool
99323925,STENSELE,Bar furniture,550,https://www.ikea.com/sa/en/p/stensele-bar-table-anthracite-anthracite-s99323925/,"        Bar table,          70x70 cm",Maja Ganszyniec,other,table
40339004,NORRÅKER,Bar furniture,595,https://www.ikea.com/sa/en/p/norraker-bar-table-black-40339004/,"        Bar table,          74x74 cm",J Karlsson/N Karlsson,black,table
39184324,HENRIKSDAL,Bar furniture,435,https://www.ikea.com/sa/en/p/henriksdal-bar-stool-with-backrest-brown-black-graesbo-white-s39184324/,"        Bar stool with backrest,          74 cm",IKEA of Sweden/Karl Malmvall,black,stool
19297275,NORRÅKER / NORRÅKER,Bar furniture,1266,https://www.ikea.com/sa/en/p/norraker-norraker-bar-table-and-2-bar-stools-birch-birch-s19297275/,"        Bar table and 2 bar stools,          74 cm",J Karlsson/N Karlsson,other,stool
60400745,YNGVAR,Bar furniture,475,https://www.ikea.com/sa/en/p/yngvar-bar-stool-anthracite-60400745/,"        Bar stool,          75 cm",IKEA of Sweden,other,stool
20336619,HENRIKSDAL,Bar furniture,40,https://www.ikea.com/sa/en/p/henriksdal-cover-for-bar-stool-with-backrest-graesbo-white-20336619/,        Cover for bar stool with backrest,IKEA of Sweden,white,stool
20429010,NORRÅKER,Bar furniture,395,https://www.ikea.com/sa/en/p/norraker-bar-stool-with-backrest-birch-20429010/,"        Bar stool with backrest,          74 cm",J Karlsson/N Karlsson,other,stool
80369112,NORDVIKEN,Bar furniture,275,https://www.ikea.com/sa/en/p/nordviken-bar-stool-with-backrest-black-80369112/,"        Bar stool with backrest,          75 cm",Francis Cayouette,black,stool
89280380,NORRÅKER / NORRARYD,Bar furniture,1385,https://www.ikea.com/sa/en/p/norraker-norraryd-bar-table-and-2-bar-stools-black-black-s89280380/,"        Bar table and 2 bar stools,          74 cm",Nike Karlsson/J Karlsson/N Karlsson,black,stool
29304223,EKEDALEN / EKEDALEN,Bar furniture,2375,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-bar-table-and-4-bar-stools-white-orrsta-light-grey-s29304223/,"        Bar table and 4 bar stools,          120 cm",Ehlén Johansson,white,stool
49304217,EKEDALEN / EKEDALEN,Bar furniture,2176,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-bar-table-and-4-bar-stools-brown-orrsta-light-grey-s49304217/,"        Bar table and 4 bar stools,          120 cm",Ehlén Johansson,brown,stool
272656,BERNHARD,Bar furniture,745,https://www.ikea.com/sa/en/p/bernhard-bar-stool-with-backrest-chrome-plated-mjuk-kavat-white-00272656/,"        Bar stool with backrest,          66 cm",Ola Wihlborg,white,stool
79241940,NORRÅKER / NORRÅKER,Bar furniture,1385,https://www.ikea.com/sa/en/p/norraker-norraker-bar-table-and-2-bar-stools-black-black-s79241940/,"        Bar table and 2 bar stools,          74 cm",J Karlsson/N Karlsson,black,stool
89297272,NORRÅKER / NORRARYD,Bar furniture,1266,https://www.ikea.com/sa/en/p/norraker-norraryd-bar-table-and-2-bar-stools-birch-black-s89297272/,"        Bar table and 2 bar stools,          74 cm",Nike Karlsson/J Karlsson/N Karlsson,black,stool
9288224,STENSELE,Bar furniture,550,https://www.ikea.com/sa/en/p/stensele-bar-table-anthracite-anthracite-s09288224/,"        Bar table,          70 cm",Maja Ganszyniec,other,table
